iterations,fitness,time,pop,mate,mutate,trial
0,0.0360327276421,0.0558823600004,100,50,50,1
10,0.0416737514642,0.0959627760021,100,50,50,1
20,0.048510210373,0.125734473004,100,50,50,1
30,0.0503630366271,0.172791690005,100,50,50,1
40,0.0540952361837,0.241749485001,100,50,50,1
50,0.060263095122,0.25021156,100,50,50,1
60,0.0632779332731,0.265579045998,100,50,50,1
70,0.0754778401721,0.279078259002,100,50,50,1
80,0.069126200999,0.297588065005,100,50,50,1
90,0.0757311670511,0.31698823101,100,50,50,1
100,0.0822080034038,0.327073080014,100,50,50,1
110,0.0737798518621,0.337832416015,100,50,50,1
120,0.0718033086909,0.352604125008,100,50,50,1
130,0.0739366604207,0.360251442013,100,50,50,1
140,0.0708994634912,0.369203849012,100,50,50,1
150,0.0805779455352,0.376457316015,100,50,50,1
160,0.0761202279713,0.38439533201,100,50,50,1
170,0.0773985505368,0.392487876015,100,50,50,1
180,0.0828413388109,0.400525360012,100,50,50,1
190,0.0865491251826,0.420710450009,100,50,50,1
200,0.0738885073236,0.429859123011,100,50,50,1
210,0.0837041361273,0.446087282005,100,50,50,1
220,0.0951425711301,0.466082525003,100,50,50,1
230,0.0992810431229,0.487287631004,100,50,50,1
240,0.0934737135906,0.497383306007,100,50,50,1
250,0.0935150792992,0.50643880901,100,50,50,1
260,0.0852493287594,0.523877068008,100,50,50,1
270,0.0862359339712,0.541373857006,100,50,50,1
280,0.0809835833331,0.549518016007,100,50,50,1
290,0.0807586388201,0.558327772007,100,50,50,1
300,0.0796896484836,0.583544855006,100,50,50,1
310,0.0837164389088,0.602076843999,100,50,50,1
320,0.0853089887394,0.610009368,100,50,50,1
330,0.079101203721,0.617892722003,100,50,50,1
340,0.0819038680454,0.630006336003,100,50,50,1
350,0.0752140269118,0.638333982999,100,50,50,1
360,0.0734245390942,0.648750829998,100,50,50,1
370,0.0736676674991,0.663794541993,100,50,50,1
380,0.0693619536483,0.678460754993,100,50,50,1
