iterations,fitness,time,CE,trial
0,0.0201177492636,0.000128145002236,0.15,1
10,0.0193776451774,0.000190299004316,0.15,1
20,0.0209444257161,0.000266081005975,0.15,1
30,0.021681715111,0.00135641300585,0.15,1
40,0.0223317401289,0.00142400600453,0.15,1
50,0.0235190243231,0.00159600600455,0.15,1
60,0.0243270024952,0.00173472600727,0.15,1
70,0.0246368042491,0.00176998000825,0.15,1
80,0.0249197830907,0.00180775800982,0.15,1
90,0.0259876894635,0.00184233401524,0.15,1
100,0.0263908315237,0.00187965201621,0.15,1
110,0.0265371607669,0.0020207860216,0.15,1
120,0.027195024505,0.0020651380255,0.15,1
130,0.0283111002868,0.00210175602842,0.15,1
140,0.0286231746743,0.00213803102815,0.15,1
150,0.0289371418206,0.00217322102981,0.15,1
160,0.0295376249483,0.00221812602831,0.15,1
170,0.0295376249483,0.00225332402624,0.15,1
180,0.0301316919633,0.00233022902103,0.15,1
190,0.030605500411,0.00250971302012,0.15,1
200,0.0310288041,0.00279148401751,0.15,1
210,0.0313448084194,0.00294886801566,0.15,1
220,0.0313689725324,0.00298326001939,0.15,1
230,0.0315233601711,0.00309856001695,0.15,1
240,0.0321557798815,0.00313454901334,0.15,1
250,0.0321557798815,0.00468515701505,0.15,1
260,0.0321557798815,0.00472423101019,0.15,1
270,0.0322529191458,0.00481029300863,0.15,1
280,0.0322529191458,0.00484423300804,0.15,1
290,0.0326875629607,0.00488001501071,0.15,1
300,0.0327505527295,0.0049138000104,0.15,1
310,0.0332707066368,0.00494883900683,0.15,1
320,0.0341685737538,0.00498152400542,0.15,1
330,0.0342014257564,0.00501511400944,0.15,1
340,0.0345648943352,0.00504726400686,0.15,1
350,0.0345648943352,0.00508118100697,0.15,1
360,0.0345648943352,0.00511520000873,0.15,1
370,0.0346980596558,0.00514799400844,0.15,1
380,0.0346980596558,0.00518281200493,0.15,1
390,0.0346980596558,0.00522236400138,0.15,1
400,0.0348393252676,0.00526166000054,0.15,1
410,0.0351415630642,0.00537967700075,0.15,1
420,0.0351415630642,0.00541653599794,0.15,1
430,0.0355373191629,0.00545555799908,0.15,1
440,0.0355373191629,0.00552539599448,0.15,1
450,0.035600182599,0.00651863999519,0.15,1
460,0.035600182599,0.00656355199317,0.15,1
470,0.0358894007543,0.00671747099841,0.15,1
480,0.0363466351737,0.00675263899757,0.15,1
490,0.0363466351737,0.00687636299699,0.15,1
500,0.0374238170676,0.00691309399554,0.15,1
510,0.0374238170676,0.00694806200045,0.15,1
520,0.0374238170676,0.0069855499969,0.15,1
530,0.0374584921579,0.00702131300204,0.15,1
540,0.0374584921579,0.00705604399991,0.15,1
550,0.0374584921579,0.00709125700087,0.15,1
560,0.0379132457305,0.00712751999527,0.15,1
570,0.0379132457305,0.00733147099527,0.15,1
580,0.0388302295692,0.00748246599687,0.15,1
590,0.0397147728924,0.0075179350024,0.15,1
600,0.0402021359401,0.00756941299915,0.15,1
610,0.0402247038364,0.00771049399918,0.15,1
620,0.0402247038364,0.00774616700073,0.15,1
630,0.0402306326819,0.00778181000351,0.15,1
640,0.0402306326819,0.00781587000529,0.15,1
650,0.0402306326819,0.00785076300235,0.15,1
660,0.0402860171794,0.00788930199633,0.15,1
670,0.0402860171794,0.00792870800069,0.15,1
680,0.0402860171794,0.00796340099623,0.15,1
690,0.0402860171794,0.00799845199799,0.15,1
700,0.0402860171794,0.00803243699193,0.15,1
710,0.0402860171794,0.00806764299341,0.15,1
720,0.0402860171794,0.00810267798806,0.15,1
730,0.0402860171794,0.00813722798921,0.15,1
740,0.0403174897838,0.00817131099029,0.15,1
750,0.0407360086228,0.00820488198951,0.15,1
760,0.0407360086228,0.00823945399316,0.15,1
770,0.0407360086228,0.00827522499458,0.15,1
780,0.0411303698792,0.00830900599249,0.15,1
790,0.0411303698792,0.00834570299776,0.15,1
800,0.0411303698792,0.0083811489967,0.15,1
810,0.0411408156204,0.00841541299451,0.15,1
820,0.0411408156204,0.00847226299084,0.15,1
830,0.0411408156204,0.00850645499304,0.15,1
840,0.0411408156204,0.00854156999412,0.15,1
850,0.0411408156204,0.0085765299882,0.15,1
860,0.0411408156204,0.00861212699238,0.15,1
870,0.0413404765031,0.00864614899183,0.15,1
880,0.0417856199309,0.0086805819883,0.15,1
890,0.0421109204475,0.00871452099091,0.15,1
900,0.0421387163239,0.00874904799275,0.15,1
910,0.0421387163239,0.00878455499333,0.15,1
920,0.0421387163239,0.00882024999737,0.15,1
930,0.0421387163239,0.00886249200266,0.15,1
940,0.0424668078003,0.00889983000525,0.15,1
950,0.0424668078003,0.00893581500713,0.15,1
960,0.0424668078003,0.00897217300371,0.15,1
970,0.0434416323332,0.00900691500283,0.15,1
980,0.0435012534197,0.00904188700224,0.15,1
990,0.0435292994409,0.00907575800375,0.15,1
1000,0.0435292994409,0.00911148300656,0.15,1
