iterations,fitness,time,trial
0,0.021263342769,0.000493728999572,1
10,0.0222952385315,0.00085994899564,1
20,0.0232206768543,0.0033836329967,1
30,0.0234619200314,0.00375081399397,1
40,0.02515663632,0.00449644999026,1
50,0.0257486149914,0.00520307899569,1
60,0.0266396322216,0.00551168899983,1
70,0.0270761257082,0.00618507599575,1
80,0.0278800867084,0.00685148299817,1
90,0.0285312983923,0.00893064800039,1
100,0.0285312983923,0.010244789999,1
110,0.0285312983923,0.0103750269991,1
120,0.0287800610787,0.0105582559991,1
130,0.0289858967651,0.0107328619924,1
140,0.0291985891812,0.0109092799903,1
150,0.0293078735149,0.0110702649908,1
160,0.0296408550149,0.0112632979944,1
170,0.0299761933258,0.0114385599954,1
180,0.0305141738611,0.0116125859931,1
190,0.0317533927678,0.0117772969897,1
200,0.0317533927678,0.0119482189912,1
210,0.0317799536566,0.0121117809904,1
220,0.0319500158052,0.0123025629873,1
230,0.0325756164429,0.0124766989902,1
240,0.032743385517,0.0126503479914,1
250,0.0339556530053,0.0151683779914,1
260,0.0342474828761,0.0153374849979,1
270,0.0344944314486,0.0155038789962,1
280,0.0346961378825,0.0156513149996,1
290,0.0346961378825,0.0163085349996,1
300,0.0348873381728,0.0171447040047,1
310,0.0351409560964,0.0173430910072,1
320,0.0351409560964,0.0175091200072,1
330,0.035176580895,0.0177386670111,1
340,0.035176580895,0.017931271017,1
350,0.0353000562957,0.0187976470188,1
360,0.0358250800457,0.0189346980187,1
370,0.0358250800457,0.0191746630226,1
380,0.0358250800457,0.0193821240246,1
390,0.0361729955034,0.0200048430197,1
400,0.0362009222943,0.0201628220238,1
410,0.0366977071547,0.0207466930297,1
420,0.0375268089663,0.0209325100295,1
430,0.0375268089663,0.0210716920265,1
440,0.038478883402,0.0211793940252,1
450,0.038478883402,0.0222921880195,1
460,0.0384987782152,0.0230927720186,1
470,0.0387397739795,0.0297088780208,1
480,0.0387397739795,0.0313552400257,1
490,0.0387397739795,0.0323320830285,1
500,0.0387397739795,0.0329921500306,1
510,0.039124965205,0.0334072910337,1
520,0.0391814481391,0.0335558950392,1
530,0.0394191537972,0.0342624910409,1
540,0.0394191537972,0.0352038540368,1
550,0.0394191537972,0.03583561704,1
560,0.0394191537972,0.036352719042,1
570,0.039462560775,0.0369900640435,1
