    iterations,fitness,time,samples,keep,m,trial
1640,0.0403123903152,1024.27865001,100,50,0.1,1
1650,0.0394499071336,1028.87418214,100,50,0.1,1
1660,0.0406202073343,1033.42896586,100,50,0.1,1
1670,0.0413273305679,1037.87154636,100,50,0.1,1
1680,0.0387802265572,1042.54091379,100,50,0.1,1
1690,0.0383073225743,1047.03159763,100,50,0.1,1
1700,0.041123929244,1051.48437325,100,50,0.1,1
1710,0.0393475768578,1056.12916471,100,50,0.1,1
1720,0.0406640484873,1060.57670899,100,50,0.1,1
1730,0.0404370804947,1065.06472834,100,50,0.1,1
1740,0.0409408886222,1069.74682566,100,50,0.1,1
1750,0.0388955278754,1074.2752123,100,50,0.1,1
1760,0.041053445697,1078.82997261,100,50,0.1,1
1770,0.0393105894438,1083.48527211,100,50,0.1,1
1780,0.0402075283239,1087.92044012,100,50,0.1,1
1790,0.0410588525748,1092.3792163,100,50,0.1,1
1800,0.0411610497243,1096.93375157,100,50,0.1,1
1810,0.0405858713511,1101.67679892,100,50,0.1,1
1820,0.0399919476481,1106.23620399,100,50,0.1,1
1830,0.0412669212645,1110.82140095,100,50,0.1,1
1840,0.0419452150223,1115.34182045,100,50,0.1,1
1850,0.0421239659518,1119.85294914,100,50,0.1,1
1860,0.0417866154069,1124.32168022,100,50,0.1,1
1870,0.0412235068663,1128.99288952,100,50,0.1,1
1880,0.0413709906056,1133.71936159,100,50,0.1,1
1890,0.040599629581,1138.05946102,100,50,0.1,1
1900,0.0416329019151,1142.62144454,100,50,0.1,1
1910,0.0415634075827,1147.10916548,100,50,0.1,1
1920,0.0421905212626,1151.60449668,100,50,0.1,1
1930,0.041922373029,1156.09108816,100,50,0.1,1
1940,0.0441192837242,1160.56339997,100,50,0.1,1
1950,0.0417253858324,1165.13833029,100,50,0.1,1
1960,0.0421828308416,1169.67819593,100,50,0.1,1
1970,0.0428980939686,1174.41140688,100,50,0.1,1
1980,0.0414241778387,1179.07467012,100,50,0.1,1
1990,0.0432861301138,1183.53518648,100,50,0.1,1
2000,0.0418327121539,1188.26865926,100,50,0.1,1
2010,0.0436662574889,1192.7595328,100,50,0.1,1
2020,0.0438393481378,1198.18998374,100,50,0.1,1
2030,0.0430289537843,1202.73656831,100,50,0.1,1
2040,0.0417959299255,1207.16703422,100,50,0.1,1
2050,0.0434085440633,1211.75718061,100,50,0.1,1
2060,0.0426535006193,1216.35984656,100,50,0.1,1
2070,0.0410088149556,1221.12115091,100,50,0.1,1
2080,0.0416982713079,1225.66233636,100,50,0.1,1
2090,0.0415999798218,1230.12877992,100,50,0.1,1
2100,0.0416853751317,1234.67996256,100,50,0.1,1
2110,0.0422060021626,1239.10654395,100,50,0.1,1
2120,0.0424729858079,1243.63938049,100,50,0.1,1
2130,0.0406958132451,1248.23956566,100,50,0.1,1
2140,0.0417316558572,1252.69487309,100,50,0.1,1
2150,0.0428595936416,1257.12445514,100,50,0.1,1
2160,0.0414202826393,1261.79231652,100,50,0.1,1
2170,0.0427479946106,1266.4257287,100,50,0.1,1
2180,0.0420345187506,1271.19514789,100,50,0.1,1
