iterations,fitness,time,samples,keep,m,trial
1250,52.0,44.921451705,100,50,0.1,1
1260,53.0,45.100529703,100,50,0.1,1
1270,58.0,45.427199144,100,50,0.1,1
1280,53.0,45.634290391,100,50,0.1,1
1290,52.0,45.900911298,100,50,0.1,1
1300,56.0,46.300540947,100,50,0.1,1
1310,53.0,46.726090428,100,50,0.1,1
1320,58.0,47.055560412,100,50,0.1,1
1330,53.0,47.452062402,100,50,0.1,1
1340,54.0,47.900711204,100,50,0.1,1
1350,52.0,48.297309939,100,50,0.1,1
1360,57.0,48.532650531,100,50,0.1,1
1370,57.0,48.775752226,100,50,0.1,1
1380,54.0,48.968797835,100,50,0.1,1
1390,54.0,49.258730689,100,50,0.1,1
1400,53.0,49.464450681,100,50,0.1,1
1410,53.0,49.675264382,100,50,0.1,1
1420,53.0,49.8691174,100,50,0.1,1
1430,53.0,50.066561856,100,50,0.1,1
1440,53.0,50.251717963,100,50,0.1,1
1450,54.0,50.56415526,100,50,0.1,1
1460,53.0,50.747526829,100,50,0.1,1
1470,54.0,50.948668151,100,50,0.1,1
1480,53.0,51.177573533,100,50,0.1,1
1490,53.0,51.398562341,100,50,0.1,1
1500,53.0,51.615569247,100,50,0.1,1
1510,53.0,51.803950455,100,50,0.1,1
1520,53.0,51.979639207,100,50,0.1,1
1530,54.0,52.280899082,100,50,0.1,1
1540,54.0,52.543093584,100,50,0.1,1
1550,54.0,52.730112751,100,50,0.1,1
1560,53.0,52.905865457,100,50,0.1,1
1570,53.0,53.114037878,100,50,0.1,1
1580,53.0,53.335943674,100,50,0.1,1
1590,58.0,53.515831135,100,50,0.1,1
1600,53.0,53.691581457,100,50,0.1,1
1610,54.0,53.891258579,100,50,0.1,1
1620,53.0,54.089501298,100,50,0.1,1
1630,53.0,54.277100852,100,50,0.1,1
1640,53.0,54.440862127,100,50,0.1,1
1650,53.0,54.613125497,100,50,0.1,1
1660,54.0,54.803622459,100,50,0.1,1
1670,56.0,55.125322924,100,50,0.1,1
1680,53.0,55.338209229,100,50,0.1,1
1690,53.0,55.515426745,100,50,0.1,1
1700,53.0,55.731273632,100,50,0.1,1
1710,54.0,55.910164146,100,50,0.1,1
1720,53.0,56.209414923,100,50,0.1,1
1730,53.0,56.378587082,100,50,0.1,1
1740,53.0,56.533748534,100,50,0.1,1
1750,54.0,56.723737486,100,50,0.1,1
1760,53.0,56.904590166,100,50,0.1,1
1770,54.0,57.079338406,100,50,0.1,1
1780,53.0,57.274497018,100,50,0.1,1
1790,53.0,57.441277688,100,50,0.1,1
1800,53.0,57.638749695,100,50,0.1,1
1810,53.0,57.818537594,100,50,0.1,1
1820,53.0,57.980785689,100,50,0.1,1
1830,58.0,58.157173492,100,50,0.1,1
1840,53.0,58.321412374,100,50,0.1,1
1850,53.0,58.49899136,100,50,0.1,1
1860,53.0,58.675455684,100,50,0.1,1
1870,54.0,59.017841451,100,50,0.1,1
1880,58.0,59.220877277,100,50,0.1,1
1890,53.0,59.396229466,100,50,0.1,1
1900,53.0,59.553319506,100,50,0.1,1
1910,53.0,59.73819028,100,50,0.1,1
1920,53.0,59.902801424,100,50,0.1,1
1930,53.0,60.419798264,100,50,0.1,1
1940,53.0,60.806412646,100,50,0.1,1
1950,53.0,61.137978107,100,50,0.1,1
