iterations,fitness,time,samples,keep,m,trial
1780,770.0,2799.17403195,100,50,0.1,1
1790,772.0,2813.86526004,100,50,0.1,1
1800,772.0,2828.72807443,100,50,0.1,1
1810,772.0,2843.53548862,100,50,0.1,1
1820,772.0,2858.43258296,100,50,0.1,1
1830,772.0,2873.66276772,100,50,0.1,1
1840,772.0,2888.18267104,100,50,0.1,1
1850,772.0,2903.40830579,100,50,0.1,1
1860,772.0,2918.58392286,100,50,0.1,1
1870,772.0,2934.66652697,100,50,0.1,1
1880,772.0,2949.97765796,100,50,0.1,1
1890,774.0,2964.87878658,100,50,0.1,1
1900,772.0,2979.87348036,100,50,0.1,1
1910,770.0,2994.60032495,100,50,0.1,1
1920,772.0,3009.16998006,100,50,0.1,1
1930,770.0,3024.03066484,100,50,0.1,1
1940,772.0,3038.9228442,100,50,0.1,1
1950,770.0,3053.69135403,100,50,0.1,1
1960,772.0,3068.55294912,100,50,0.1,1
1970,774.0,3083.59550582,100,50,0.1,1
1980,772.0,3098.74197619,100,50,0.1,1
1990,772.0,3113.51020932,100,50,0.1,1
2000,772.0,3128.04481196,100,50,0.1,1
2010,770.0,3143.24523402,100,50,0.1,1
2020,772.0,3158.5170391,100,50,0.1,1
2030,772.0,3173.93470933,100,50,0.1,1
2040,772.0,3189.13397769,100,50,0.1,1
2050,774.0,3204.49865497,100,50,0.1,1
2060,772.0,3219.35402776,100,50,0.1,1
2070,772.0,3235.09125343,100,50,0.1,1
2080,772.0,3250.53140124,100,50,0.1,1
2090,774.0,3265.61266352,100,50,0.1,1
2100,772.0,3280.86740513,100,50,0.1,1
2110,776.0,3295.77544988,100,50,0.1,1
2120,774.0,3310.69095988,100,50,0.1,1
2130,774.0,3325.37312179,100,50,0.1,1
2140,774.0,3340.25879548,100,50,0.1,1
2150,774.0,3355.076946,100,50,0.1,1
2160,774.0,3369.70992767,100,50,0.1,1
2170,774.0,3384.28359489,100,50,0.1,1
2180,774.0,3399.61112267,100,50,0.1,1
2190,774.0,3414.29423822,100,50,0.1,1
2200,772.0,3428.84631352,100,50,0.1,1
2210,774.0,3443.69525434,100,50,0.1,1
2220,774.0,3459.57469121,100,50,0.1,1
2230,772.0,3475.53811097,100,50,0.1,1
2240,776.0,3490.67315646,100,50,0.1,1
2250,772.0,3505.58960566,100,50,0.1,1
2260,772.0,3520.89905712,100,50,0.1,1
2270,772.0,3536.8158536,100,50,0.1,1
2280,774.0,3551.42617982,100,50,0.1,1
2290,774.0,3566.1782783,100,50,0.1,1
2300,774.0,3581.31959394,100,50,0.1,1
2310,774.0,3596.24912653,100,50,0.1,1
2320,778.0,3611.15346468,100,50,0.1,1
2330,774.0,3627.59706363,100,50,0.1,1
2340,774.0,3643.36556544,100,50,0.1,1
2350,774.0,3658.21885103,100,50,0.1,1
2360,772.0,3672.717228,100,50,0.1,1
2370,774.0,3687.51589081,100,50,0.1,1
2380,774.0,3702.50523839,100,50,0.1,1
2390,774.0,3717.28572744,100,50,0.1,1
2400,774.0,3732.40914113,100,50,0.1,1
2410,774.0,3747.432703,100,50,0.1,1
2420,774.0,3762.27175113,100,50,0.1,1
2430,776.0,3777.11108165,100,50,0.1,1
2440,772.0,3792.49477787,100,50,0.1,1
2450,772.0,3807.07469474,100,50,0.1,1
2460,774.0,3822.53573124,100,50,0.1,1
2470,776.0,3838.61341875,100,50,0.1,1
2480,774.0,3853.46600088,100,50,0.1,1
2490,774.0,3868.17449074,100,50,0.1,1
2500,774.0,3883.35049595,100,50,0.1,1
2510,776.0,3898.1358523,100,50,0.1,1
2520,776.0,3913.04077299,100,50,0.1,1
2530,776.0,3927.7255276,100,50,0.1,1
2540,776.0,3942.76775584,100,50,0.1,1
2550,776.0,3957.34970844,100,50,0.1,1
2560,774.0,3972.01426879,100,50,0.1,1
2570,776.0,3986.76175636,100,50,0.1,1
2580,776.0,4001.76001349,100,50,0.1,1
2590,776.0,4016.30241549,100,50,0.1,1
2600,776.0,4031.41452821,100,50,0.1,1
2610,776.0,4046.05257432,100,50,0.1,1
2620,776.0,4061.47641455,100,50,0.1,1
2630,776.0,4076.29185729,100,50,0.1,1
2640,774.0,4091.18869417,100,50,0.1,1
2650,774.0,4105.99805931,100,50,0.1,1
2660,776.0,4121.1760849,100,50,0.1,1
2670,776.0,4136.75821015,100,50,0.1,1
2680,776.0,4151.76448432,100,50,0.1,1
2690,774.0,4166.43141652,100,50,0.1,1
2700,776.0,4181.26383346,100,50,0.1,1
2710,776.0,4196.34426455,100,50,0.1,1
2720,778.0,4210.96352148,100,50,0.1,1
2730,780.0,4226.01777773,100,50,0.1,1
2740,776.0,4241.00427694,100,50,0.1,1
2750,778.0,4255.54131435,100,50,0.1,1
2760,778.0,4270.10442439,100,50,0.1,1
2770,778.0,4285.04190667,100,50,0.1,1
2780,778.0,4300.31829533,100,50,0.1,1
2790,778.0,4315.59233858,100,50,0.1,1
2800,780.0,4330.53680075,100,50,0.1,1
2810,778.0,4345.5964751,100,50,0.1,1
